model,num_users,user_number,user_accuracy,aggregated_accuracy
Multinomial Naive Bayes,3,1,77.35,79.76
Multinomial Naive Bayes,3,2,77.45,79.76
Multinomial Naive Bayes,3,3,77.11,79.76
Multinomial Naive Bayes,5,1,73.87,78.65
Multinomial Naive Bayes,5,2,74.88,78.65
Multinomial Naive Bayes,5,3,74.96,78.65
Multinomial Naive Bayes,5,4,74.06,78.65
Multinomial Naive Bayes,5,5,74.48,78.65
Multinomial Naive Bayes,7,1,72.36,77.40
Multinomial Naive Bayes,7,2,71.30,77.40
Multinomial Naive Bayes,7,3,72.04,77.40
Multinomial Naive Bayes,7,4,72.57,77.40
Multinomial Naive Bayes,7,5,72.55,77.40
Multinomial Naive Bayes,7,6,72.71,77.40
Multinomial Naive Bayes,7,7,72.15,77.40
Multinomial Naive Bayes,9,1,70.82,76.58
Multinomial Naive Bayes,9,2,68.22,76.58
Multinomial Naive Bayes,9,3,70.37,76.58
Multinomial Naive Bayes,9,4,70.58,76.58
Multinomial Naive Bayes,9,5,70.72,76.58
Multinomial Naive Bayes,9,6,71.51,76.58
Multinomial Naive Bayes,9,7,71.51,76.58
Multinomial Naive Bayes,9,8,71.09,76.58
Multinomial Naive Bayes,9,9,70.32,76.58
Multinomial Naive Bayes,11,1,69.44,76.34
Multinomial Naive Bayes,11,2,67.61,76.34
Multinomial Naive Bayes,11,3,68.62,76.34
Multinomial Naive Bayes,11,4,67.88,76.34
Multinomial Naive Bayes,11,5,69.58,76.34
Multinomial Naive Bayes,11,6,68.33,76.34
Multinomial Naive Bayes,11,7,70.16,76.34
Multinomial Naive Bayes,11,8,68.59,76.34
Multinomial Naive Bayes,11,9,69.68,76.34
Multinomial Naive Bayes,11,10,68.54,76.34
Multinomial Naive Bayes,11,11,67.35,76.34
Logistic Regression,3,1,77.96,84.64
Logistic Regression,3,2,77.11,84.64
Logistic Regression,3,3,77.19,84.64
Logistic Regression,5,1,73.74,84.01
Logistic Regression,5,2,72.63,84.01
Logistic Regression,5,3,72.71,84.01
Logistic Regression,5,4,72.65,84.01
Logistic Regression,5,5,72.81,84.01
Logistic Regression,7,1,69.84,84.01
Logistic Regression,7,2,69.10,84.01
Logistic Regression,7,3,70.24,84.01
Logistic Regression,7,4,69.07,84.01
Logistic Regression,7,5,68.54,84.01
Logistic Regression,7,6,69.68,84.01
Logistic Regression,7,7,70.42,84.01
Logistic Regression,9,1,67.45,83.34
Logistic Regression,9,2,65.09,83.34
Logistic Regression,9,3,66.74,83.34
Logistic Regression,9,4,67.43,83.34
Logistic Regression,9,5,65.54,83.34
Logistic Regression,9,6,65.31,83.34
Logistic Regression,9,7,67.56,83.34
Logistic Regression,9,8,66.34,83.34
Logistic Regression,9,9,69.34,83.34
Logistic Regression,11,1,64.99,83.18
Logistic Regression,11,2,63.58,83.18
Logistic Regression,11,3,63.66,83.18
Logistic Regression,11,4,63.63,83.18
Logistic Regression,11,5,64.30,83.18
Logistic Regression,11,6,62.81,83.18
Logistic Regression,11,7,62.57,83.18
Logistic Regression,11,8,65.31,83.18
Logistic Regression,11,9,65.23,83.18
Logistic Regression,11,10,63.18,83.18
Logistic Regression,11,11,66.63,83.18
Random Forest,3,1,77.35,79.76
Random Forest,3,2,77.45,79.76
Random Forest,3,3,77.11,79.76
Random Forest,5,1,73.87,78.65
Random Forest,5,2,74.88,78.65
Random Forest,5,3,74.96,78.65
Random Forest,5,4,74.06,78.65
Random Forest,5,5,74.48,78.65
Random Forest,7,1,72.36,77.40
Random Forest,7,2,71.30,77.40
Random Forest,7,3,72.04,77.40
Random Forest,7,4,72.57,77.40
Random Forest,7,5,72.55,77.40
Random Forest,7,6,72.71,77.40
Random Forest,7,7,72.15,77.40
Random Forest,9,1,70.82,76.58
Random Forest,9,2,68.22,76.58
Random Forest,9,3,70.37,76.58
Random Forest,9,4,70.58,76.58
Random Forest,9,5,70.72,76.58
Random Forest,9,6,71.51,76.58
Random Forest,9,7,71.51,76.58
Random Forest,9,8,71.09,76.58
Random Forest,9,9,70.32,76.58
Random Forest,11,1,69.44,76.34
Random Forest,11,2,67.61,76.34
Random Forest,11,3,68.62,76.34
Random Forest,11,4,67.88,76.34
Random Forest,11,5,69.58,76.34
Random Forest,11,6,68.33,76.34
Random Forest,11,7,70.16,76.34
Random Forest,11,8,68.59,76.34
Random Forest,11,9,69.68,76.34
Random Forest,11,10,68.54,76.34
Random Forest,11,11,67.35,76.34
